Begriff;Definition;Erläuterung;Verwendungshinweis;Von;Bis
Datierung unbekannt;;;;-542000000;
Geologisch;;;"Begriff wird als Oberbegriff verwendet. Beim Wunsch nach Differenzierung bitte unter der Kategorie ""Geologische Zeitabschnitte"" nachsehen.";-542000000;2100
Paläozoikum;Das Paläozoikum ist eine Ära der Erdgeschichte, die vor etwa 542 Millionen Jahren begann und vor etwa 251 Millionen Jahren endete. Sie ist die unterste Ära des Phanerozoikums.;;;-538800000;-251902000
Kambrium;Das Kambrium ist die unterste Periode des Paläozoikums. Sie begann vor etwa 538,8 Millionen Jahren und endete vor etwa 486,85 Millionen Jahren.;;;-538800000;-486850000
Terreneuvium;Das Terreneuvium ist die unterste Epoche des Kambriums. Sie begann vor etwa 538,8 Millionen Jahren und endete vor etwa 521 Millionen Jahren.;;;-538800000;-521000000
Fortunium;Das Fortunium ist das erste und unterste geochronologische Alter des Terreneuviums. Es begann vor etwa 538,8 Millionen Jahren und endete vor etwa 529 Millionen Jahren.;;;-538800000;-529000000
Kambrium-Stufe 2;Die Kambrium-Stufe 2 ist das zweite und oberste geochronologische Alter des Terreneuviums. Es begann vor etwa 529 Millionen Jahren und endete vor etwa 521 Millionen Jahren.;;;-529000000;-521000000
Kambrium-Serie 2;Die Kambrium-Serie 2 ist eine Epoche des Kambriums, die vor etwa 521 Millionen Jahren begann und vor etwa 506,5 Millionen Jahren endete.;;;-521000000;-506500000
Kambrium-Stufe 3;Die Kambrium-Stufe 3 ist das erste und unterste geochronologische Alter der zweiten Kambrium-Serie. Es begann vor etwa 521 Millionen Jahren und endete vor etwa 514,5 Millionen Jahren.;;;-521000000;-514500000
Kambrium-Stufe 4;Die Kambrium-Stufe 4 ist das zweite und oberste geochronologische Alter der zweiten Kambrium-Serie. Es begann vor etwa 514,5 Millionen Jahren und endete vor etwa 506,5 Millionen Jahren.;;;-514500000;-506500000
Miaolingium;Das Miaolingium ist die dritte Epoche des Kambriums, die vor etwa 506,5 Millionen Jahren begann und vor etwa 497 Millionen Jahren endete.;;;-506500000;-497000000
Wuliuum;Das Wuliuum ist das erste und unterste geochronologische Alter des Miaolingiums. Es begann vor etwa 506,5 Millionen Jahren und endete vor etwa 504,5 Millionen Jahren.;;;-506500000;-504500000
Drumium;Das Drumium ist das zweite und mittlere geochronologische Alter des Miaolingiums. Es begann vor etwa 504,5 Millionen Jahren und endete vor etwa 500,5 Millionen Jahren.;;;-504500000;-500500000
Guzhangium;Das Guzhangium ist das dritte und oberste geochronologische Alter des Miaolingiums. Es begann vor etwa 500,5 Millionen Jahren und endete vor etwa 497 Millionen Jahren.;;;-500500000;-497000000
Furongium;Das Furongium ist die vierte und oberste Epoche des Kambriums. Sie begann vor etwa 497 Millionen Jahren und endete vor etwa 486,85 Millionen Jahren.;;;-497000000;-486850000
Paibium;Das Paibium ist das erste und unterste geochronologische Alter des Furongiums. Es begann vor etwa 497 Millionen Jahren und endete vor etwa 494,2 Millionen Jahren.;;;-497000000;-494200000
Jiangshanium;Das Jiangshanium ist das zweite und mittlere geochronologische Alter des Furongiums. Es begann vor etwa 494,2 Millionen Jahren und endete vor etwa 491 Millionen Jahren.;;;-494200000;-491000000
Kambrium-Stufe 10;Die Kambrium-Stufe 10 ist das dritte und oberste geochronologische Alter des Furongiums. Es begann vor etwa 491 Millionen Jahren und endete vor etwa 486,85 Millionen Jahren.;;;-491000000;-486850000
Ordovizium;Das Ordovizium ist die zweite Periode des Paläozoikums. Sie begann vor etwa 486,85 Millionen Jahren und endete vor etwa 443,1 Millionen Jahren.;;;-486850000;-443100000
Unterordovizium;Das Unterordovizium ist die unterste Epoche des Ordoviziums. Sie begann vor etwa 486,85 Millionen Jahren und endete vor etwa 471,3 Millionen Jahren.;;;-486850000;-471300000
Tremadocium;Das Tremadocium ist das unterste Alter des Unterordoviziums. Es begann vor etwa 486,85 Millionen Jahren und endete vor etwa 477,1 Millionen Jahren.;;;-486850000;-477100000
Floium;Das Floium ist das oberste Alter des Unterordoviziums. Es begann vor etwa 477,1 Millionen Jahren und endete vor etwa 471,3 Millionen Jahren.;;;-477100000;-471300000
Mittelordovizium;Das Mittelordovizium ist die mittlere Epoche des Ordoviziums. Sie begann vor etwa 471,3 Millionen Jahren und endete vor etwa 458,2 Millionen Jahren.;;;-471300000;-458200000
Dapingium;Das Dapingium ist das unterste Alter des Mittelordoviziums. Es begann vor etwa 471,3 Millionen Jahren und endete vor etwa 469,4 Millionen Jahren.;;;-471300000;-469400000
Darriwilium;Das Darriwilium ist das oberste Alter des Mittelordoviziums. Es begann vor etwa 469,4 Millionen Jahren und endete vor etwa 458,2 Millionen Jahren.;;;-469400000;-458200000
Oberordovizium;Das Oberordovizium ist die oberste Epoche des Ordoviziums. Sie begann vor etwa 458,2 Millionen Jahren und endete vor etwa 443,1 Millionen Jahren.;;;-458200000;-443100000
Sandbium;Das Sandbium ist das unterste Alter des Oberordoviziums. Es begann vor etwa 458,2 Millionen Jahren und endete vor etwa 452,8 Millionen Jahren.;;;-458200000;-452800000
Katium;Das Katium ist das mittlere Alter des Oberordoviziums. Es begann vor etwa 452,8 Millionen Jahren und endete vor etwa 445,2 Millionen Jahren.;;;-452800000;-445200000
Hirnantium;Das Hirnantium ist das oberste Alter des Oberordoviziums. Es begann vor etwa 445,2 Millionen Jahren und endete vor etwa 443,1 Millionen Jahren.;;;-445200000;-443100000
Silur;Das Silur ist die dritte Periode des Paläozoikums. Sie begann vor etwa 443,1 Millionen Jahren und endete vor etwa 419,62 Millionen Jahren.;;;-443100000;-419620000
Llandovery;Das Llandovery ist die unterste Epoche des Silurs. Sie begann vor etwa 443,1 Millionen Jahren und endete vor etwa 432,9 Millionen Jahren.;;;-443100000;-432900000
Rhuddanium;Das Rhuddanium ist das unterste Alter des Llandoverys. Es begann vor etwa 443,1 Millionen Jahren und endete vor etwa 440,5 Millionen Jahren.;;;-443100000;-440500000
Aeronium;Das Aeronium ist das mittlere Alter des Llandoverys. Es begann vor etwa 440,5 Millionen Jahren und endete vor etwa 438,6 Millionen Jahren.;;;-440500000;-438600000
Telychium;Das Telychium ist das oberste Alter des Llandoverys. Es begann vor etwa 438,6 Millionen Jahren und endete vor etwa 432,9 Millionen Jahren.;;;-438600000;-432900000
Wenlock;Das Wenlock ist eine Epoche des Silurs. Sie begann vor etwa 432,9 Millionen Jahren und endete vor etwa 426,7 Millionen Jahren.;;;-432900000;-426700000
Sheinwoodium;Das Sheinwoodium ist das älteste geochronologische Alter des Wenlocks. Es begann vor etwa 432,9 Millionen Jahren und endete vor etwa 430,6 Millionen Jahren.;;;-432900000;-430600000
Homerium;Das Homerium ist das jüngere geochronologische Alter des Wenlocks. Es begann vor etwa 430,6 Millionen Jahren und endete vor etwa 426,7 Millionen Jahren.;;;-430600000;-426700000
Ludlow;Das Ludlow ist eine Epoche des Silurs. Sie begann vor etwa 426,7 Millionen Jahren und endete vor etwa 422,7 Millionen Jahren.;;;-426700000;-422700000
Gorstium;Das Gorstium ist das oberste Alter des Ludlows. Es begann vor etwa 426,7 Millionen Jahren und endete vor etwa 425 Millionen Jahren.;;;-426700000;-425000000
Ludfordium;Das Ludfordium ist das unterste Alter des Ludlows. Es begann vor etwa 425 Millionen Jahren und endete vor etwa 422,7 Millionen Jahren.;;;-425000000;-422700000
Pridoli;Das Pridoli ist die oberste Epoche des Silurs. Sie begann vor etwa 422,7 Millionen Jahren und endete vor etwa 419,62 Millionen Jahren.;;;-422700000;-419620000
Devon;Das Devon ist die vierte geochronologische Periode des Paläozoikums. Es begann vor etwa 419,62 Millionen Jahren und endete vor etwa 358,86 Millionen Jahren.;;;-419620000;-358860000
Unterdevon;Das Unterdevon ist die unterste Epoche des Devons. Es begann vor etwa 419,62 Millionen Jahren und endete vor etwa 393,47 Millionen Jahren.;;;-419620000;-393470000
Lochkovium;Das Lochkovium ist das älteste geochronologische Alter des Unterdevons, das vor etwa 419,62 Millionen Jahren begann und vor etwa 413,02 Millionen Jahren endete.;;;-419620000;-413020000
Pragium;Das Pragium ist das mittlere geochronologische Alter des Unterdevons, das vor etwa 413,02 Millionen Jahren begann und vor etwa 410,62 Millionen Jahren endete.;;;-413020000;-410620000
Emsium;Das Emsium ist das jüngste geochronologische Alter des Unterdevons, das vor etwa 410,62 Millionen Jahren begann und vor etwa 393,47 Millionen Jahren endete.;;;-410620000;-393470000
Mitteldevon;Das Mitteldevon ist die mittlere Epoche des Devons. Es begann vor etwa 393,47 Millionen Jahren und endete vor etwa 382,31 Millionen Jahren.;;;-393470000;-382310000
Eifelium;Das Eifelium ist das untere geochronologische Alter des Mitteldevons. Es begann vor etwa 393,47 Millionen Jahren und endete vor etwa 387,95 Millionen Jahren.;;;-393470000;-387950000
Givetium;Das Givetium ist das obere geochronologische Alter des Mitteldevons. Es begann vor etwa 387,95 Millionen Jahren und endete vor etwa 382,31 Millionen Jahren.;;;-387950000;-382310000
Oberdevon;Das Oberdevon ist die oberste geochronologische Epoche des Devons, die vor etwa 382,31 Millionen Jahren begann und vor etwa 358,86 Millionen Jahren endete.;;;-382310000;-358860000
Frasnium;Das Frasnium ist das untere geochronologische Alter des Oberdevons, das vor etwa 382,31 Millionen Jahren begann und vor etwa 372,15 Millionen Jahren endete.;;;-382310000;-372150000
Famennium;Das Famennium ist das obere geochronologische Alter des Oberdevons, das vor etwa 372,15 Millionen Jahren begann und vor etwa 358,86 Millionen Jahren endete.;;;-372150000;-358860000
Karbon;Das Karbon ist die fünfte Periode des Paläozoikums. Sie begann vor etwa 358,86 Millionen Jahren und endete vor etwa 298,9 Millionen Jahren.;;;-358860000;-298900000
Mississippium;Das Mississippium ist die erste und untere geochronologische Epoche des Karbons, die vor etwa 358,86 Millionen Jahren begann und vor etwa 323,4 Millionen Jahren endete.;;;-358860000;-323400000
Tournaisium;Das Tournaisium ist das erste und unterste geochronologische Alter des Mississippiums. Es begann vor etwa 358,86 Millionen Jahren und endete vor etwa 346,7 Millionen Jahren.;;;-358860000;-346700000
Viseum;Das Viseum ist das zweite und mittlere geochronologische Alter des Mississippiums. Es begann vor etwa 346,7 Millionen Jahren und endete vor etwa 330,3 Millionen Jahren.;;;-346700000;-330300000
Serpukhovium;Das Serpukhovium ist das dritte und oberste geochronologische Alter des Mississippiums. Es begann vor etwa 330,3 Millionen Jahren und endete vor etwa 323,4 Millionen Jahren.;;;-330300000;-323400000
Pennsylvanium;Das Pennsylvanium ist die zweite und obere geochronologische Epoche des Karbons, die vor etwa 323,4 Millionen Jahren begann und vor etwa 298,9 Millionen Jahren endete.;;;-323400000;-298900000
