Begriff;Definition;Erläuterung;Verwendungshinweis;Von;Bis
Abbaukammer;Eine Abbaukammer ist Bestandteil einer Untertageanlage in Form eines kammerartig eingeteilten Abbauraums, der im bergmännischen Abbauverfahren des Kammerbaus entsteht.;;;;
Abdruck (Vertiefung);;;;;
Abfallgrube;Eine Abfallgrube ist eine Grube, die zur dauerhaften Entsorgung von Abfall genutzt wird.;;;;
Abortgrube;Eine Abortgrube ist eine Grube, die eine Kanalisation ersetzt und menschliche Abgangsstoffe auffängt.;;;;
Abraumhalde;Eine Abraumhalde ist eine Halde, die aus dem ausgeräumten, wertlosen Material besteht, das beim Abbau von Bodenschätzen anfällt.;;"Benutzt für die aus dem Abbau von Rohstoffen resultierende Aufschüttung; für die Halde eines Steinkohlenbergwerks siehe Bergehalde.";;
Abri;Ein Abri ist eine Landschaftsform oder ein Landschaftsraum, der als Nische unter Felsüberhängen zu finden ist und natürlichen Schutz für Rast oder Wohnstätten bietet.;;;;
Abschnittsbefestigung;Eine Abschnittsbefestigung ist eine Befestigungsanlage, die eine topographische Engstelle eines ansonsten natürlich unzugänglichen Geländes (Bergsporn, Halbinsel) abriegelt.;;;;
Absetzbecken;Ein Absetzbecken ist ein Becken, in dem Abwässer von Feststoffen getrennt werden. Da in dem Becken kaum Strömung herrscht, können die im Wasser enthaltenen Feststoffe zu Boden sinken.;;;;
Absturzstelle;Eine Absturzstelle ist ein offener Raum, an dem ein Lebewesen oder ein Fahrzeug aus größerer Höhe fallend, verunglückt.;;;;
Abzugsloch (Ofen);;;;;
A-Horizont;;;;;
Alenkastell;Ein Alenkastell ist ein römisches Auxiliarlager, in dem eine berittene Einheit (ala quingenaria oder ala milliaria, Kavallerieeinheiten) stationiert ist.;;;;
Altacker (Landwirtschaft);;Im Gelände können sich Altäcker als terrassierte Fläche zeigen, die als Grünland genutzt wird oder mit Wald bestanden ist.;;;
Amphitheater;Ein Amphitheater ist ein Theaterbau, der eine ovale oder kreisförmige Form aufweist.;Die Form des Amphitheaters mit stufenweise ansteigenden Sitzreihen,  hohen Außenmauern oder Eintiefung in die Erde wird in der Gartenkunst für die Gestaltung von Freilichttheatern aufgenommen.;;;
Anlegestelle;Eine Anlegestelle ist ein offener Raum an Gewässerufern, in dem Wasserfahrzeuge anlegen können.;;;;
Aquädukt;Ein Aquädukt ist eine Wasserleitung, bei der das Wasser in offenen oder abgedeckten Kanälen über eine oft mehrgeschossige Bogenbrücke in natürlichem Gefälle zu einem Ziel geleitet wird.;;;;
Aquäduktbrücke;Eine Aquäduktbrücke ist der Bestandteil eines Aquädukts, durch das eine Wasserleitung oder einen natürlichen oder künstlichen Wasserlauf über ein Gelände oder Terraineinschnitte geführt wird.;;;;
Aquädukttunnel;Ein Aquädukttunnel ist ein Tunnel, in dem ein Aquädukt durch Berge hindurchgeführt wird.;;;;
Arbeitsfläche (Archäologie);Eine Arbeitsfläche ist eine Stelle, die in der Archäologie alle Arbeitsbereiche, wie Flächen, Sondagen und Quadranten, umfasst.;;;;
Arbeitsgrube;;;;;
Arbeitslager;Ein Arbeitslager ist ein Gefangenenlager, in dem Menschen zur Ausbeutung ihrer Arbeitskraft durch Zwangsarbeit festgehalten werden.;;;;
Ärmchen (Ofen);;;;;
Aschengrube (Ofen);;;;;
Aschenkiste;Eine Aschenkiste ist ein Behältnis, in dem die Reste einer Brandbestattung aufbewahrt werden.;Eine Aschenkiste ist ähnlich einem Sarkophag, kann aber deutlich kleiner sein. Sie nimmt die vom Verbrennungsplatz ausgelesenen Reste der Brandbestattung auf. Eine Aschenkiste muss nicht in der Erde bestattet sein.;"Benutzt für das Behältnis zur Aufbewahrung von Resten einer Brandbestattung; für den Bestandteil eines Ofens siehe Aschkasten.";;
Atriumhaus;Ein Atriumhaus ist ein Bauwerk, dessen Räume auf einen Innenhof gerichtet sind.;;;;
Auensediment;Ein Auensediment ist ein Sediment, das im Auenbereich von Wasserläufen bei Überflutungen abgelagert wird.;;;;
Aufschüttung (Bauwerk);Eine Aufschüttung ist ein Erdbauwerk in Form einer künstlichen Erhöhung, die durch die Anhäufung von Material entstanden ist.;;;;
Ausbruchgraben;;;;;
Ausbruchgrube;;;;;
Ausbruchsbefund;;;;;
Ausfachung;Eine Ausfachung ist die Füllung eines Gefaches.;Der Verschluss der einzelnen Gefache erfolgt durch Holzbohlen, Staken mit Lehm und Lehmbewurf, Backsteinen oder Bruchsteinen.;;;
Auxiliarlager;Ein Auxiliarlager ist ein römisches Militärlager, in dem Hilfstruppen, die Auxiliartruppen, lagern und in dem sich Principia, Kommandantenwohnhaus und Mannschaftsunterkünfte befinden.;;;;
Backhaus;Ein Backhaus ist ein Nebengebäude, in dem sich ein Backofen befindet oder das ein Backofen in Form eines Gebäudes ist.;;Verwendet für mehr oder weniger freistehende Gebäude, deren primärer Zweck sich durch den darin enthaltenen Backofen definiert. Für die (früher gemauerten) Bereiche in oder an Häusern, nutze Backofen wk002026.;;
Backofen;Ein Backofen ist ein Ofen, der aus Mauerziegeln, Steinen oder Ton errichtet ist und der Zubereitung von Lebensmitteln dient.;;Verwendet für die (früher gemauerten) Bereiche in oder an Häusern. Benutzt für den gesamten Ofen. Für Bestandteil eines Herdes siehe Backröhre. Für mehr oder weniger freistehende Gebäude, deren primärer Zweck sich durch den darin enthaltenen Backofen definiert, siehe Backhaus.;;
Bad (Bauwerk);Ein Bad ist ein Bauwerk, in dem Wasser in mitunter mehreren unterschiedlich großen Behältnissen zur Erfrischung, Reinigung oder zu Heilzwecken zur Verfügung steht.;;;;
Badehaus;Ein Badehaus ist ein öffentliches Bad, in dessen Gebäude sich Wannenbäder und andere Waschmöglichkeiten befinden, beziehungsweise das direkt mit einer Badestelle an einem offenen Gewässer verbunden ist.;Badehäuser übernehmen teilweise auch die Funktion von gesellschaftlichen Treffpunkten.;"Benutzt für das Gebäude, in dem sich ein öffentliches Wannenbad befindet, beziehungsweise das direkt mit dem Wasser verbunden ist; für Gebäude einer Kuranlage, in denen sich Badevorrichtungen befinden, siehe Kurmittelhaus; für römische Badeanlagen siehe Thermen.";;
Balken (Bauteil);Ein Balken ist ein Bauteil, das als Träger horizontal gelagert ist und vertikal wirkende Kräfte aufnimmt und weitergibt. ;;;;
Baptisterium;Ein Baptisterium ist ein Gebäude, das in der Regel als Zentralbau neben der eigentlichen Kirche steht und ausschließlich der Taufe dient.;;;;
Baracke;Eine Baracke ist ein Bauwerk, das aus vorgefertigten Teilen schnell und einfach aufgebaut werden kann und nicht als dauerhaftes Gebäude vorgesehen ist.;;;;
