Begriff;Definition;Erläuterung;Verwendungshinweis;Von;Bis
Abakus (Rechengerät);Ein Abakus ist ein Rechengerät, auf dem mit Hilfe von Rechensteinen oder Kugeln, die auf einer Führung innerhalb eines Rahmens bewegt werden, die vier Grundrechenarten sowie teilweise das Ziehen von Wurzeln ausgeführt werden, wobei der Wert der Rechensteine durch ihre Lage bestimmt wird.;;;;
Abschlag (Steinartefakt);Ein Abschlag ist eine Grundform, welche von einem Kern gewonnen wurde. In Schlagrichtung ist ein Abschlag mehr als doppelt so breit wie lang.;;;;
Abschlagskern;;;;;
Abspliss (Steinartefakt);;;;;
Abzug (Foto);Ein Abzug ist ein auf Fotopapier kopiertes Foto. Die Vorlage, etwa ein Negativfilm, ein Dia oder eine Bilddatei, wird dafür mittels fotografischer Verfahren wie Kontaktkopie, Vergrößerung oder Ausbelichtung übertragen.;;;;
Ädikula;Eine Ädikula ist ein Architekturelement, das als kleine übergiebelte Hausfront in antikisierender Form eine Nische, ein Portal, ein Fenster oder ähnliches rahmt.;Eine Ädikula besteht wenigstens aus Stützen (Pilaster, Wandpfeiler o.ä.) und einer Überdachung. Die Ädikula wird von der Bekrönung dadurch unterschieden, dass die Höhe der Stützen der Höhe des gerahmten Elements entsprechen. Eine Ädikula ist immer Zierelement, nicht Front eines Gebäudes oder Raumes.;;;
Ahle (Werkzeug);;;;;
Altar;Ein Altar ist ein sakrales Bauwerk, das im ursprünglichen Sinn als erhöhter Platz zur Darbringung eines Opfers dient.;In der christlichen Kirche ist er als Platz des Messopfers wichtigstes Stück der Kirchenausstattung.;;;
Altarbild;;;;;
Amboss (Werkzeug);Ein Amboss ist ein Gerät zur Metallbearbeitung. Er besteht aus gehärtetem Stahl und dient als Unterlage beim Schmieden des meist glühenden Eisens.;;;;
Amphore;Eine Amphore ist ein Transportgefäß und Vorratsgefäß der Antike, das zwei Henkel, einen engen Hals und einen bauchigen, ovalen Körper besitzt. Die meisten Amphoren wurden aus Ton hergestellt. Viele antike Amphoren haben einen spitzen Fuß und konnten dadurch nur in dafür vorgesehenen Halterungen aufrecht gelagert werden. In ihnen wurde beispielsweise  Olivenöl, Wein oder Garum aufbewahrt.;Viele antike Amphoren haben einen spitzen Fuß und konnten dadurch nur in dafür vorgesehenen Halterungen aufrecht gelagert werden. In ihnen wurde beispielsweise  Olivenöl, Wein oder Garum aufbewahrt.;;;
Amulett;;;;;
Angelhaken;Ein Angelhaken ist ein Haken, der zur Befestigung eines Köders dient und die gefangene Beute an der Angelleine hält. Ein Angelhaken besteht aus den Teilen Kopf, Schenkel, Bogen, Spitze und ist in verschiedenen Formen und Größen erhältlich.;;;;
Ango;Ein Ango ist ein Speer, dessen Spitze aus einem Blatt mit Widerhaken, einem langen Schaft und einer schmalen Tülle besteht.;;;;
Anhänger (Schmuck);"Ein Anhänger ist ein Schmuckstück, das in der Regel mittels einer Öse an einer Kette um den Hals aber auch an Ohrringen, Armketten oder Broschen getragen wird. Das Formenspektrum umfasst hauptsächlich geometrische bis figürliche Darstellungen; die Verarbeitung kann sehr detailreich sein, aufwendig verziert, besetzt mit Edelsteinen und anderem.";;;;
Anker (Gerät);Ein Anker ist ein Gerät, mit dem ein Wasserfahrzeug an einem bestimmten Platz festgehalten wird und nicht durch äußere Einwirkungen wie Wind, Strömung oder Wellen abgetrieben werden kann. Ein Anker besteht in der Regel aus einem Schaft und mehreren hakenförmigen Armen, auch Flunken genannt. Er ist durch eine Ankerkette mit dem Wasserfahrzeug verbunden.;;;;
Aquamanile;Ein Aquamanile ist eine figürliche Kanne zum Ausgießen von Wasser. In der Regel besitzen die Gefäße einen Henkel und werden je nach Verwendungszweck aus Metall oder Keramik herstellt. Es wird zur Handwaschung für den liturgischen und profanen Gebrauch verwendet.;;;;
Architekturfragment;Ein Architekturfragment ist ein Bruchstück eines Bauwerks, das durch Zerstörung, Verfall oder gezielte Demontage entstanden ist und das in der Regel keinen funktionalen Zusammenhang mehr mit dem ursprünglichen Bauwerk hat. Beispiele sind Teile von Säulen, Sockeln, Mauern oder Ornamenten, die etwa bei Ausgrabungen gefunden werden.;;Verwendet insbesondere für fragmentierte Fundobjekte ohne Zusammenhang mit dem ursprünglichen Bauwerk. Für vollständige Architekturelemente verwende Bauteil (wk000112).;;
Archivale;;;;;
Armbrustfibel;;;;;
Armring;Ein Armring ist Armschmuck in Form eines starren Reifs, der um das Handgelenk oder den Oberarm getragen wird. Er kann die Form eines geschlossenen oder offenen Rings haben und wird übergestreift oder mithilfe von Scharnieren geöffnet und um den Arm gelegt.;;;;
Armschiene (Kleidung);Eine Armschiene ist Bestandteil einer Rüstung, der einen Teil des Arms schützt.;;;;
Armschutzplatte;Eine Armschutzplatte ist eine Panzerung und schützt den Arm eines Bogenschützen vor der zurückschnellenden Sehne.;;;;
Aschenkiste;Eine Aschenkiste ist ein Behältnis, in dem die Reste einer Brandbestattung aufbewahrt werden.;Eine Aschenkiste ist ähnlich einem Sarkophag, kann aber deutlich kleiner sein. Sie nimmt die vom Verbrennungsplatz ausgelesenen Reste der Brandbestattung auf. Eine Aschenkiste muss nicht in der Erde bestattet sein.;"Benutzt für das Behältnis zur Aufbewahrung von Resten einer Brandbestattung; für den Bestandteil eines Ofens siehe Aschkasten.";;
Aucissafibel;;;;;
Aurignacienklinge;;;;;
Ausgesplittertes Stück;;;;;
Ausguss (Gefäßbestandteil);;;;;
Ausgussbecken;Ein Ausgussbecken ist ein Becken, das dem Ausgießen von Schmutzwasser dient. Für diesen Zweck ist es in der Regel besonders tief, mit einem Rost zum Abstellen von großen Gefäßen sowie oft auch mit einem Rand zum Abstützen von beispielsweise Eimern ausgestattet. Ausgussbecken können über eine hohe Rückwand verfügen und finden sich heute typischerweise in Großküchen, Laboren, Unreinräumen oder Putzräumen, früher auch in Haushalten.;;;;
Ausgusstülle;;;;;
Axt (Waffe);Eine Axt ist eine Schlagwaffe, die im Nahkampf genutzt wird und auch in die Ferne geschleudert werden kann.;;"Benutzt für die Nutzung der Axt als Waffe; bei Nutzung als Werkzeug siehe Axt (Werkzeug). Benutzt für die vollständige Waffe Axt, bestehend aus Axtklinge und Axtschaft; bei Fehlen des Axtschaftes Axtklinge verwenden.";;
Axt (Werkzeug);;Eine Axt dient zum Fällen von Bäumen oder der Bearbeitung von Holz.;"Benutzt für die Nutzung der Axt als Werkzeug; bei Nutzung als Waffe s. Axt (Waffe). Benutzt für das vollständige Werkzeug Axt, bestehend aus Axtklinge und Axtschaft; bei Fehlen des Axtschaftes Axtklinge verwenden.";;
Axtklinge;;;Benutzt für den Axtkopf. Ist der Schaft auch erhalten, benutze Schlagwörter für Axt.;;
Balken (Bauteil);Ein Balken ist ein Bauteil, das als Träger horizontal gelagert ist und vertikal wirkende Kräfte aufnimmt und weitergibt. ;;;;
Balkenkopf;Ein Balkenkopf ist der Bestandteil eines Balkens, der dessen Ende bildet.;Der Balkenkopf kann in einer Mauer oder Wand liegen aber auch darüber hinaus ragen.;;;
Barren (Metall);Ein Barren ist ein Objekt aus einer einzelnen, relativ reinen Metallsorte, das in eine einheitliche Form gegossen wurde.;In prähistorischer Zeit wurden Barren auch als Tauschmittel und Zahlungsmittel eingesetzt.;;;
Basis (Bestandteil);Eine Basis ist ein Bestandteil, der sich am Boden von Bauteilen oder ähnlichem befindet und aufgehende Teile trägt.;;;;
Bauinschrift;Eine Bauinschrift ist eine Inschrift an einem Bauwerk oder Bauteil, die über dessen Errichtung und Veränderung Auskunft gibt.;;;;
Baukeramik;Baukeramik ist gebrannter, tonhaltiger Baustoff, der in und um Bauten verwendet wird und beispielsweise Keramikfliesen, Formsteine oder Fassadenschmuck umfasst.;;;;
Bauornament;Ein Bauornament ist ein Ornament, das dem Schmuck und der Gliederung eines Bauwerks dient.;;;;
Baustein;;;;;
Bauteil (Bauwesen);Ein Bauelement (das Bauteil) ist ein Bestandteil von Bauwerken, das eine funktionelle Einheit bildet und dabei meist kleiner ist als ein Raum. Dazu gehören etwa Wände, Decken, Stützen, aber auch Bauteilgruppen wie Fenster und Treppen und dekorative Architekturelemente wie Gesimse, Friese oder Kapitelle.;;;;
